,year,rating,vote,runtime,kind_N,genre_N,country_N,language_N,director_N
350,1994.0,5.9,None,30.0,1,0,3,0,4
351,2003.0,7.9,Many,99.0,1,6,8,1,9
352,1986.0,5.5,None,50.0,1,6,8,1,9
353,1994.0,6.2,None,113.0,7,6,1,1,9
354,1992.0,7.5,Few,52.0,1,6,8,1,9
355,1999.0,7.1,Many,173.0,1,4,7,1,9
356,2001.0,7.1,Many,87.0,1,4,9,8,9
357,1999.0,7.4,None,86.0,3,6,8,1,9
358,2004.0,6.3,Many,183.0,1,7,7,1,9
359,2001.0,6.7,None,95.0,7,9,8,1,10
360,1994.0,6.9,Few,93.0,1,7,2,2,9
361,2002.0,7.2,Few,110.0,1,6,8,1,9
362,1991.0,4.2,Few,60.0,1,0,9,7,9
363,1984.0,5.1,Several,360.0,3,8,8,1,9
364,2000.0,4.6,Few,54.0,1,8,1,1,9
365,2003.0,8.8,Few,87.0,7,6,9,1,9
366,2005.0,8.0,Few,30.0,3,6,8,1,9
367,2003.0,4.8,Few,77.0,1,4,3,0,9
368,1984.0,8.3,Several,88.0,2,7,7,1,10
369,1954.0,8.6,Many,170.0,1,0,6,6,0
370,2005.0,8.1,None,60.0,7,6,8,1,9
371,1998.0,7.9,Several,95.0,1,7,4,4,9
373,1999.0,6.9,Few,50.0,1,3,7,1,9
374,1994.0,7.9,Several,94.0,0,0,7,1,7
375,1999.0,6.4,Many,82.0,1,4,8,1,9
376,1996.0,7.8,None,83.0,1,9,8,1,2
377,1991.0,6.8,None,24.0,1,7,9,1,9
378,2003.0,6.6,Few,101.0,3,7,8,1,9
380,2003.0,8.7,None,170.0,7,9,8,1,9
381,1975.0,8.3,Many,90.0,1,1,9,9,0
382,1994.0,7.8,Many,106.0,1,4,9,7,9
384,1979.0,6.0,Several,139.0,1,8,2,2,9
385,1994.0,8.1,Many,100.0,4,2,8,1,10
386,1990.0,5.9,Several,25.0,3,5,8,1,9
388,1996.0,7.9,None,129.0,7,6,8,1,9
390,2002.0,6.9,Many,83.0,1,6,8,1,9
391,2000.0,6.3,Few,96.0,1,0,6,6,9
392,1967.0,7.8,Few,90.0,4,0,6,1,10
393,1980.0,6.5,Several,240.0,1,4,9,3,9
394,1999.0,7.9,None,99.0,4,4,8,1,10
395,1991.0,6.0,Few,96.0,3,7,8,1,9
396,2002.0,6.8,Few,30.0,1,6,8,1,9
397,2004.0,8.3,None,54.0,0,2,9,9,9
398,2001.0,7.5,Few,75.0,2,2,6,6,10
399,1992.0,6.9,Few,90.0,3,1,7,1,9
400,2003.0,7.4,Few,112.0,0,5,7,1,9
401,1999.0,4.2,Few,121.0,1,4,5,1,9
402,2004.0,8.6,Many,110.0,1,4,8,1,9
403,2002.0,3.1,Several,84.0,1,0,4,4,9
404,1998.0,6.6,None,91.0,1,9,1,9,9
405,2001.0,8.0,None,23.0,0,6,8,1,9
406,2003.0,6.9,Many,97.0,1,7,7,1,9
407,1997.0,7.4,Few,150.0,1,6,8,1,9
408,1996.0,6.7,Few,100.0,1,0,3,0,9
409,2004.0,7.0,Many,87.0,1,0,4,4,9
410,1993.0,7.2,Few,56.0,3,4,8,1,9
411,2004.0,6.2,Few,78.0,1,4,3,0,9
412,2002.0,7.7,Few,107.0,1,6,8,1,9
413,2003.0,7.8,None,110.0,7,9,8,1,9
414,1994.0,7.4,None,197.0,1,6,8,9,9
415,2000.0,6.8,Several,150.0,1,5,9,8,9
416,2000.0,8.2,Many,47.0,1,7,9,7,9
417,1990.0,7.4,Few,701.0,1,0,3,0,9
418,1989.0,5.8,Several,93.0,1,4,8,1,9
419,2001.0,8.1,Many,165.0,1,4,4,4,9
420,1978.0,5.3,Several,94.0,3,4,8,1,9
421,2001.0,4.8,Many,115.0,1,2,8,1,9
422,1961.0,8.2,Many,127.0,1,0,6,6,0
423,2002.0,7.2,None,98.0,1,6,8,1,9
424,2001.0,7.3,None,41.0,4,7,7,1,10
425,2001.0,7.4,None,104.0,7,6,8,1,9
426,1995.0,4.7,None,80.0,1,0,9,9,9
427,1996.0,6.1,Few,84.0,3,7,8,1,9
428,1997.0,6.1,Several,40.0,1,4,4,4,9
429,1990.0,7.2,None,97.0,7,2,8,1,9
430,2005.0,6.3,Few,90.0,7,2,8,1,9
431,1993.0,6.8,Many,116.0,4,7,8,1,10
432,1963.0,7.2,Many,104.0,1,7,2,2,9
433,2001.0,4.7,Few,87.0,2,7,9,1,10
434,1996.0,6.5,Few,16.0,7,10,8,1,9
435,2004.0,5.7,Several,375.0,1,7,3,0,9
437,1974.0,8.0,None,116.0,1,6,8,1,9
438,2000.0,7.3,Several,87.0,0,5,7,1,9
439,1999.0,6.1,Few,120.0,1,4,2,2,9
441,1978.0,4.7,Many,97.0,1,1,8,1,9
442,2000.0,7.3,Few,112.0,2,2,6,9,10
443,1997.0,7.5,Many,98.0,1,7,7,1,9
444,2003.0,6.5,None,98.0,1,10,8,1,9
445,1998.0,7.8,None,73.0,7,10,8,1,10
446,1995.0,7.5,Several,51.0,3,4,9,1,9
447,1988.0,6.0,Several,128.0,1,4,8,1,9
448,1999.0,7.2,Many,37.0,1,3,9,3,9
449,1997.0,6.6,Several,130.0,1,6,8,1,9
450,1997.0,8.1,None,60.0,4,6,8,1,10
451,1985.0,5.4,None,95.0,1,2,6,6,9
452,1977.0,7.4,Many,82.0,1,7,7,1,9
454,1972.0,7.6,Many,85.0,1,4,8,1,9
455,2003.0,6.8,Many,108.0,1,0,8,1,9
456,1978.0,7.3,Many,105.0,1,0,8,1,9
457,1956.0,6.4,Many,93.0,1,0,8,1,9
458,1998.0,7.2,Many,103.0,1,8,6,6,9
459,2003.0,7.4,None,32.0,0,5,7,1,9
460,1991.0,6.7,Few,60.0,3,10,8,1,9
461,2002.0,6.4,Several,97.0,3,7,8,1,9
462,1998.0,4.6,Few,65.0,3,7,8,1,9
463,2001.0,8.3,Several,96.0,2,2,7,1,10
464,2003.0,7.1,Few,61.0,1,6,8,1,9
465,1980.0,7.7,Several,88.0,4,7,7,1,10
466,2000.0,6.0,Several,30.0,7,2,8,1,9
468,2004.0,4.8,None,96.0,1,5,8,1,9
469,1966.0,8.1,Many,90.0,1,7,5,9,9
470,1983.0,7.2,Many,98.0,1,4,2,9,9
471,1976.0,7.0,Several,97.0,1,1,7,1,9
472,1998.0,3.7,Few,86.0,7,10,8,1,9
473,1972.0,8.1,Many,120.0,1,7,9,9,9
474,1998.0,7.1,None,51.0,4,2,6,9,10
475,1993.0,5.8,Few,115.0,1,3,0,1,9
476,1980.0,8.1,Many,85.0,1,4,9,9,9
477,2004.0,6.0,None,99.0,7,6,9,1,9
478,1981.0,7.3,Many,83.0,1,1,1,9,9
479,2001.0,4.0,Few,99.0,1,4,1,1,9
480,2004.0,7.7,Few,93.0,1,6,8,1,9
481,1998.0,6.1,None,118.0,7,8,7,1,9
482,1991.0,6.9,Several,91.0,1,3,8,1,9
483,1993.0,6.6,Many,142.0,1,5,7,1,9
484,2005.0,7.3,Several,32.0,2,7,8,1,10
485,1996.0,8.3,Many,25.0,1,6,8,1,9
487,2003.0,8.0,Many,110.0,4,0,6,6,10
488,1996.0,5.8,Several,110.0,1,7,8,1,9
489,2004.0,4.2,Several,96.0,1,4,4,4,9
490,1983.0,5.2,Several,5.0,1,0,3,7,9
491,1983.0,6.4,None,41.0,3,7,7,1,9
492,1981.0,6.7,Many,42.0,1,0,7,1,9
494,2000.0,7.3,None,180.0,3,6,8,1,9
495,1999.0,6.9,Several,90.0,1,7,6,6,9
496,1944.0,7.1,Few,23.0,1,4,7,1,9
497,1971.0,6.6,Many,85.0,1,8,5,5,9
498,2003.0,4.4,Few,96.0,1,10,8,1,9
500,2000.0,6.0,Few,110.0,3,3,8,1,9
501,2003.0,6.2,Few,30.0,1,0,6,6,9
503,1979.0,7.0,Several,99.0,1,7,8,1,9
504,1950.0,6.5,Few,104.0,1,4,8,1,9
505,1999.0,6.3,Several,116.0,1,4,2,2,9
507,2003.0,5.2,None,85.0,1,10,9,1,9
508,2001.0,4.7,Several,87.0,4,0,1,1,10
509,1932.0,7.3,Several,95.0,1,4,2,2,9
510,1997.0,7.2,Several,121.0,1,7,1,1,9
511,1980.0,5.7,Several,99.0,1,7,2,2,9
512,1996.0,6.8,Several,102.0,3,4,8,1,9
513,1993.0,8.5,Few,112.0,1,6,8,1,9
515,1998.0,5.8,None,103.0,3,6,8,1,9
516,1971.0,6.7,Many,87.0,1,8,5,1,9
518,1983.0,7.4,Many,103.0,1,1,8,1,9
520,1959.0,9.0,Many,100.0,4,7,8,9,10
521,2004.0,7.3,Many,108.0,1,3,7,1,9
522,1998.0,7.2,Few,132.0,7,2,1,1,9
523,1972.0,8.0,Several,23.0,1,4,4,4,9
525,1974.0,7.5,Many,90.0,4,7,9,9,10
526,2002.0,6.3,None,78.0,7,4,8,1,9
527,2005.0,4.5,None,90.0,7,8,8,1,9
528,2004.0,8.4,None,23.0,1,4,8,1,9
529,2002.0,6.2,Many,90.0,1,4,2,1,9
531,1945.0,7.2,Several,48.0,1,3,8,1,9
533,2004.0,6.6,None,52.0,1,6,8,1,9
534,2002.0,7.9,None,99.0,3,6,7,1,9
535,2002.0,6.4,Few,40.0,7,2,8,1,9
536,1975.0,5.3,Several,92.0,1,7,2,2,9
537,1985.0,7.1,Many,50.0,1,4,8,1,9
538,1991.0,7.7,None,94.0,3,3,7,1,9
541,2004.0,6.6,None,55.0,1,6,8,1,9
543,2003.0,6.8,Several,45.0,1,6,8,1,9
544,1999.0,6.0,Several,136.0,3,0,8,1,9
545,1978.0,7.7,Several,103.0,4,2,9,9,10
546,1990.0,7.4,Several,88.0,1,7,9,1,9
548,1986.0,6.9,Few,91.0,1,0,3,0,9
549,2002.0,7.3,Several,94.0,1,6,9,3,9
550,2001.0,5.9,Few,23.0,1,3,2,9,9
552,1977.0,4.3,Several,112.0,1,0,8,1,9
553,2000.0,7.7,None,145.0,0,6,8,1,9
554,1959.0,9.0,Many,100.0,4,7,8,9,10
555,2002.0,6.1,Many,102.0,1,7,1,1,9
556,1996.0,4.2,Several,80.0,7,8,8,1,9
